comune;provincia autonoma;popolazione;superficie;densità;altitudine;link;codice postale;istat;sito;comuni confinanti;lat;lon
bedollo;trento;1491;2727;55;1059;https://it.wikipedia.org/wiki/Bedollo;38043;022011;http://www.comunebedollo.it;https://it.wikipedia.org/wiki/Baselga_di_Pin%C3%A9|https://it.wikipedia.org/wiki/Lona-Lases|https://it.wikipedia.org/wiki/Pal%C3%B9_del_Fersina|https://it.wikipedia.org/wiki/Sant%27Orsola_Terme|https://it.wikipedia.org/wiki/Segonzano|https://it.wikipedia.org/wiki/Sover;46°10′N;11°18′E
besenello;trento;2800;2576;109;218;https://it.wikipedia.org/wiki/Besenello;38060;022013;http://www.comune.besenello.tn.it;https://it.wikipedia.org/wiki/Aldeno|https://it.wikipedia.org/wiki/Altopiano_della_Vigolana|https://it.wikipedia.org/wiki/Calliano_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Folgaria|https://it.wikipedia.org/wiki/Nomi_(Italia)|https://it.wikipedia.org/wiki/Trento;45°56′31″N;11°06′31″E
bieno;trento;465;1171;40;815;https://it.wikipedia.org/wiki/Bieno;38050;022015;http://www.comune.bieno.tn.it;https://it.wikipedia.org/wiki/Castel_Ivano_(Italia)|https://it.wikipedia.org/wiki/Pieve_Tesino|https://it.wikipedia.org/wiki/Scurelle;46°04′49.48″N;11°33′14.26″E
bleggio superiore;trento;1509;3322;45;628;https://it.wikipedia.org/wiki/Bleggio_Superiore;38071;022017;http://www.comune.bleggiosuperiore.tn.it;https://it.wikipedia.org/wiki/Borgo_Lares|https://it.wikipedia.org/wiki/Comano_Terme|https://it.wikipedia.org/wiki/Fiav%C3%A9|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Tione_di_Trento;46°01′21.25″N;10°49′25.25″E
bocenago;trento;398;845;47;750;https://it.wikipedia.org/wiki/Bocenago;38080;022018;http://www.comune.bocenago.tn.it/;https://it.wikipedia.org/wiki/Comano_Terme|https://it.wikipedia.org/wiki/Caderzone_Terme|https://it.wikipedia.org/wiki/Massimeno|https://it.wikipedia.org/wiki/Spiazzo|https://it.wikipedia.org/wiki/Stenico|https://it.wikipedia.org/wiki/Strembo|https://it.wikipedia.org/wiki/Tre_Ville;46°07′06.51″N;10°46′18.7″E
bondone;trento;644;1929;33;720;https://it.wikipedia.org/wiki/Bondone;38080;022021;http://www.comune.bondone.tn.it;https://it.wikipedia.org/wiki/Bagolino|https://it.wikipedia.org/wiki/Idro|https://it.wikipedia.org/wiki/Magasa|https://it.wikipedia.org/wiki/Storo|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Valvestino;45°48′23.36″N;10°33′00.97″E
borgo chiese;trento;1934;5386;36;444;https://it.wikipedia.org/wiki/Borgo_Chiese;38083;022238;http://www.comune.borgochiese.tn.it/;https://it.wikipedia.org/wiki/Bagolino|https://it.wikipedia.org/wiki/Breno_(Italia)|https://it.wikipedia.org/wiki/Castel_Condino|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Pieve_di_Bono-Prezzo|https://it.wikipedia.org/wiki/Storo|https://it.wikipedia.org/wiki/Valdaone;45°53′26.16″N;10°36′04.68″E
borgo d'anaunia;trento;2553;6374;40;987;https://it.wikipedia.org/wiki/Borgo_d%27Anaunia;38013;022252;https://www.comune.borgodanaunia.tn.it/;https://it.wikipedia.org/wiki/Appiano_sulla_Strada_del_Vino|https://it.wikipedia.org/wiki/Lauregno|https://it.wikipedia.org/wiki/Novella_(Italia)|https://it.wikipedia.org/wiki/Ronzone|https://it.wikipedia.org/wiki/San_Pancrazio_(Italia)|https://it.wikipedia.org/wiki/Sarnonico|https://it.wikipedia.org/wiki/Senale-San_Felice;46°26′19.87″N;11°08′14.39″E
borgo lares;trento;728;2196;33;595;https://it.wikipedia.org/wiki/Borgo_Lares;38079;022239;http://www.comune.borgolares.tn.it/;https://it.wikipedia.org/wiki/Bleggio_Superiore|https://it.wikipedia.org/wiki/Ledro|https://it.wikipedia.org/wiki/Sella_Giudicarie|https://it.wikipedia.org/wiki/Tione_di_Trento|https://it.wikipedia.org/wiki/Tre_Ville;46°02′07″N;10°45′08″E
borgo valsugana;trento;7081;5230;135;380;https://it.wikipedia.org/wiki/Borgo_Valsugana;38051;022022;https://www.comune.borgo-valsugana.tn.it/;https://it.wikipedia.org/wiki/Asiago|https://it.wikipedia.org/wiki/Castelnuovo_(Trentino-Alto_Adige)|https://it.wikipedia.org/wiki/Levico_Terme|https://it.wikipedia.org/wiki/Novaledo|https://it.wikipedia.org/wiki/Roncegno_Terme|https://it.wikipedia.org/wiki/Ronchi_Valsugana|https://it.wikipedia.org/wiki/Telve|https://it.wikipedia.org/wiki/Telve_di_Sopra|https://it.wikipedia.org/wiki/Torcegno;46°03′N;11°27′E
