name;school link
istituto tecnico per il settore tecnologico;https://www.vivoscuola.it/content/view/full/29850
istituto tecnico per il settore tecnologico serale;https://www.vivoscuola.it/content/view/full/29851
scuola dell'infanzia di carisolo;https://www.vivoscuola.it/content/view/full/29960
"scuola primaria ""e. bezzi"" ossana";https://www.vivoscuola.it/content/view/full/29433
scuola primaria cogolo di peio;https://www.vivoscuola.it/content/view/full/29434
scuola primaria commezzadura;https://www.vivoscuola.it/content/view/full/29435
scuola primaria passo tonale;https://www.vivoscuola.it/content/view/full/29436
scuola primaria vermiglio;https://www.vivoscuola.it/content/view/full/29438
"scuola secondaria di primo grado ""c. zanella"" fucine di ossana";https://www.vivoscuola.it/content/view/full/29439
scuola dell'infanzia di barco di levico;https://www.vivoscuola.it/content/view/full/29938
scuola dell'infanzia di volano;https://www.vivoscuola.it/content/view/full/30224
scuola dell'infanzia di grigno;https://www.vivoscuola.it/content/view/full/30012
"scuola primaria ""c. corradi"" novaledo";https://www.vivoscuola.it/content/view/full/29503
"scuola primaria ""p. martinelli"" roncegno terme";https://www.vivoscuola.it/content/view/full/29504
"scuola primaria ""t. v. gozzer"" castelnuovo";https://www.vivoscuola.it/content/view/full/29505
scuola primaria marter;https://www.vivoscuola.it/content/view/full/29506
scuola primaria telve;https://www.vivoscuola.it/content/view/full/29507
scuola primaria telve di sopra;https://www.vivoscuola.it/content/view/full/29508
"scuola secondaria di primo grado ""don l. milani"" telve";https://www.vivoscuola.it/content/view/full/29509
"scuola secondaria di primo grado ""m. pola"" roncegno terme";https://www.vivoscuola.it/content/view/full/29510
scuola primaria ronchi valsugana;https://www.vivoscuola.it/content/view/full/65578
scuola dell'infanzia di vigo cortesano;https://www.vivoscuola.it/content/view/full/30210
"scuola primaria ""s. lauton"" folgaria";https://www.vivoscuola.it/content/view/full/29542
scuola primaria lavarone;https://www.vivoscuola.it/content/view/full/29543
"scuola secondaria di primo grado ""g. prati"" lavarone";https://www.vivoscuola.it/content/view/full/29544
"scuola secondaria di primo grado ""p. rella"" folgaria";https://www.vivoscuola.it/content/view/full/29545
scuola dell'infanzia di folgaria;https://www.vivoscuola.it/content/view/full/29546
"scuola dell'infanzia di lavarone ""casa dell'arcobaleno""";https://www.vivoscuola.it/content/view/full/29547
scuola dell'infanzia di luserna;https://www.vivoscuola.it/content/view/full/29548
scuola dell'infanzia di nosellari folgaria;https://www.vivoscuola.it/content/view/full/29549
capes - settore industria e artigianato;https://www.vivoscuola.it/content/view/full/170193
settore industria e artigianato;https://www.vivoscuola.it/content/view/full/29251
scuola dell'infanzia di cavedine;https://www.vivoscuola.it/content/view/full/29972
"scuola primaria ""a. degasperi"" sardagna";https://www.vivoscuola.it/content/view/full/29704
"scuola primaria ""a. schmid"" cristo re trento";https://www.vivoscuola.it/content/view/full/29705
"scuola primaria ""beato s. bellesini"" trento";https://www.vivoscuola.it/content/view/full/29706
"scuola primaria ""s. pertini"" sopramonte";https://www.vivoscuola.it/content/view/full/29707
"scuola primaria ""san vigilio"" vela";https://www.vivoscuola.it/content/view/full/29708
scuola primaria cadine;https://www.vivoscuola.it/content/view/full/29709
"scuola secondaria di primo grado ""a. manzoni"" trento";https://www.vivoscuola.it/content/view/full/29710
scuola dell'infanzia di marter;https://www.vivoscuola.it/content/view/full/30032
"scuola dell'infanzia di trento ""s. antonio odv""";https://www.vivoscuola.it/content/view/full/30192
scuola dell'infanzia di campodenno;https://www.vivoscuola.it/content/view/full/29956
scuola dell'infanzia di trento  s. bartolomeo;https://www.vivoscuola.it/content/view/full/30188
"scuola dell'infanzia di anghebeni ""il sorriso di andrea""";https://www.vivoscuola.it/content/view/full/122611
"scuola dell'infanzia di rovereto ""c. battisti""";https://www.vivoscuola.it/content/view/full/29396
scuola dell'infanzia di rovereto fucine;https://www.vivoscuola.it/content/view/full/29397
"scuola dell'infanzia di rovereto lizzana  ""girogirotondo""";https://www.vivoscuola.it/content/view/full/29398
scuola dell'infanzia di rovereto noriglio;https://www.vivoscuola.it/content/view/full/29399
"scuola dell'infanzia di rovereto rione sud  ""il giardino incantato""";https://www.vivoscuola.it/content/view/full/29400
"scuola dell'infanzia di rovereto san giorgio   ""don a. rossaro""";https://www.vivoscuola.it/content/view/full/29401
scuola dell'infanzia di terragnolo piazza;https://www.vivoscuola.it/content/view/full/29403
"scuola dell'infanzia di tierno mori  ""il girasole""";https://www.vivoscuola.it/content/view/full/29404
"scuola primaria ""o. ferrari"" enguiso";https://www.vivoscuola.it/content/view/full/29741
scuola primaria molina di ledro;https://www.vivoscuola.it/content/view/full/29742
scuola primaria tiarno di sopra;https://www.vivoscuola.it/content/view/full/29743
"scuola secondaria di primo grado ""g. garibaldi"" bezzecca";https://www.vivoscuola.it/content/view/full/29744
"liceo delle scienze umane ""scuola steiner"" trento";https://www.vivoscuola.it/content/view/full/148606
associazione r. steiner - primaria;https://www.vivoscuola.it/content/view/full/29225
associazione r. steiner - secondaria i grado;https://www.vivoscuola.it/content/view/full/29226
educazione per adulti relativa al primo ciclo;https://www.vivoscuola.it/content/view/full/29782
istituto tecnico per il settore economico - predazzo;https://www.vivoscuola.it/content/view/full/29783
istituto tecnico per il settore economico serale - predazzo;https://www.vivoscuola.it/content/view/full/29784
istituto tecnico per il settore tecnologico;https://www.vivoscuola.it/content/view/full/29785
istituto tecnico per il settore tecnologico serale - predazzo;https://www.vivoscuola.it/content/view/full/29786
liceo delle scienze umane opzione economico sociale;https://www.vivoscuola.it/content/view/full/29787
liceo linguistico;https://www.vivoscuola.it/content/view/full/29788
liceo scientifico;https://www.vivoscuola.it/content/view/full/29789
liceo delle scienze umane;https://www.vivoscuola.it/content/view/full/65579
"scuola dell'infanzia di canazei ""don simone micheluzzi de ciciol""";https://www.vivoscuola.it/content/view/full/29406
"scuola dell'infanzia di pera di fassa ""don edy cinzol""";https://www.vivoscuola.it/content/view/full/29407
scuola dell'infanzia di soraga;https://www.vivoscuola.it/content/view/full/29408
"scuola primaria ""don l. milani"" lases";https://www.vivoscuola.it/content/view/full/29493
"scuola primaria ""p. marconi"" faver";https://www.vivoscuola.it/content/view/full/29494
"scuola primaria ""p. sartori"" sover";https://www.vivoscuola.it/content/view/full/29495
scuola primaria cembra;https://www.vivoscuola.it/content/view/full/29496
scuola primaria stedro segonzano;https://www.vivoscuola.it/content/view/full/29497
scuola primaria verla giovo;https://www.vivoscuola.it/content/view/full/29498
"scuola secondaria di primo grado ""a. vielmetti"" cembra";https://www.vivoscuola.it/content/view/full/29499
scuola secondaria di primo grado stedro segonzano;https://www.vivoscuola.it/content/view/full/29500
scuola secondaria di primo grado verla giovo;https://www.vivoscuola.it/content/view/full/29501
scuola dell'infanzia di castelfondo;https://www.vivoscuola.it/content/view/full/29312
"scuola dell'infanzia di cavareno ""peter pan""";https://www.vivoscuola.it/content/view/full/29313
scuola dell'infanzia di cogolo;https://www.vivoscuola.it/content/view/full/29314
"scuola dell'infanzia di livo ""battito d'ali""";https://www.vivoscuola.it/content/view/full/29315
"scuola dell'infanzia di mezzana ""a. ravelli""";https://www.vivoscuola.it/content/view/full/29316
scuola dell'infanzia di mione rumo;https://www.vivoscuola.it/content/view/full/29317
scuola dell'infanzia di monclassico;https://www.vivoscuola.it/content/view/full/29318
"scuola dell'infanzia di pellizzano ""antonio bontempelli""";https://www.vivoscuola.it/content/view/full/29320
scuola dell'infanzia di rabbi;https://www.vivoscuola.it/content/view/full/29321
"scuola dell'infanzia di romeno  ""città della gioia""";https://www.vivoscuola.it/content/view/full/29322
scuola dell'infanzia di ruffrè;https://www.vivoscuola.it/content/view/full/29323
"scuola dell'infanzia di sarnonico ""giardino dei sogni""";https://www.vivoscuola.it/content/view/full/29324
"scuola dell'infanzia di terzolas ""caterina graifenberg""";https://www.vivoscuola.it/content/view/full/29325
scuola dell'infanzia di casez;https://www.vivoscuola.it/content/view/full/29962
istituto tecnico per il settore economico;https://www.vivoscuola.it/content/view/full/29842
istituto tecnico per il settore economico serale;https://www.vivoscuola.it/content/view/full/29843
istituto tecnico per il settore tecnologico;https://www.vivoscuola.it/content/view/full/29844
istituto tecnico per il settore tecnologico serale;https://www.vivoscuola.it/content/view/full/29845
scuola primaria sacra famiglia trento;https://www.vivoscuola.it/content/view/full/29245
liceo scientifico;https://www.vivoscuola.it/content/view/full/29901
liceo scientifico opzione scienze applicate;https://www.vivoscuola.it/content/view/full/29902
"scuola primaria ""l. vicentini"" nomi";https://www.vivoscuola.it/content/view/full/29751
"scuola primaria ""p. lodron"" villa lagarina";https://www.vivoscuola.it/content/view/full/29752
"scuola primaria ""r. galvagni"" pomarolo";https://www.vivoscuola.it/content/view/full/29753
scuola primaria nogaredo;https://www.vivoscuola.it/content/view/full/29754
"scuola secondaria di primo grado ""a. frank"" villa lagarina";https://www.vivoscuola.it/content/view/full/29755
scuola dell'infanzia di stenico;https://www.vivoscuola.it/content/view/full/30154
capes - settore agricoltura e ambiente;https://www.vivoscuola.it/content/view/full/170206
istituto tecnico per il settore tecnologico;https://www.vivoscuola.it/content/view/full/29410
settore agricoltura e ambiente;https://www.vivoscuola.it/content/view/full/29411
"scuola dell'infanzia di daone ""asilo infantile di daone odv""";https://www.vivoscuola.it/content/view/full/29992
scuola dell'infanzia di varone;https://www.vivoscuola.it/content/view/full/30202
"scuola primaria ""a. fogazzaro"" vattaro";https://www.vivoscuola.it/content/view/full/29746
"scuola primaria ""don t. segnana"" centa san nicolo'";https://www.vivoscuola.it/content/view/full/29747
scuola primaria vigolo vattaro;https://www.vivoscuola.it/content/view/full/29748
scuola secondaria di primo grado vigolo vattaro;https://www.vivoscuola.it/content/view/full/29749
scuola dell'infanzia di pinzolo;https://www.vivoscuola.it/content/view/full/30086
liceo classico;https://www.vivoscuola.it/content/view/full/29897
"scuola primaria ""g. a. tomasi"" villazzano";https://www.vivoscuola.it/content/view/full/29676
"scuola primaria ""u. moggioli"" povo";https://www.vivoscuola.it/content/view/full/29677
"scuola secondaria di primo grado ""g. pascoli"" povo";https://www.vivoscuola.it/content/view/full/29678
"scuola dell'infanzia di taio ""asilo infantile di taio odv""";https://www.vivoscuola.it/content/view/full/30162
scuola dell'infanzia di denno;https://www.vivoscuola.it/content/view/full/29994
scuola secondaria di primo grado maria ausiliatrice trento;https://www.vivoscuola.it/content/view/full/29828
scuola dell'infanzia di strigno;https://www.vivoscuola.it/content/view/full/30158
capes - settore industria e artigianato;https://www.vivoscuola.it/content/view/full/170191
settore industria e artigianato;https://www.vivoscuola.it/content/view/full/29247
"scuola primaria ""c. chiesa"" caldonazzo";https://www.vivoscuola.it/content/view/full/29579
"scuola primaria ""g. rosanelli"" tenna";https://www.vivoscuola.it/content/view/full/29580
"scuola primaria ""padre b. martinelli"" calceranica al lago";https://www.vivoscuola.it/content/view/full/29581
scuola primaria levico terme;https://www.vivoscuola.it/content/view/full/29582
"scuola secondaria di primo grado ""g. b. de gasparis"" levico terme";https://www.vivoscuola.it/content/view/full/29583
scuola dell'infanzia di ronchi valsugana;https://www.vivoscuola.it/content/view/full/30110
educazione per adulti relativa al primo ciclo;https://www.vivoscuola.it/content/view/full/29772
istituto tecnico per il settore economico;https://www.vivoscuola.it/content/view/full/29773
istituto tecnico per il settore economico serale;https://www.vivoscuola.it/content/view/full/29774
istituto tecnico per il settore tecnologico;https://www.vivoscuola.it/content/view/full/29775
istituto tecnico per il settore tecnologico serale;https://www.vivoscuola.it/content/view/full/29776
liceo delle scienze umane;https://www.vivoscuola.it/content/view/full/29777
liceo linguistico;https://www.vivoscuola.it/content/view/full/29778
liceo scientifico;https://www.vivoscuola.it/content/view/full/29779
liceo scientifico opzione scienze applicate;https://www.vivoscuola.it/content/view/full/29780
educazione per adulti relativa al primo ciclo;https://www.vivoscuola.it/content/view/full/29810
istituto professionale per il settore dei servizi;https://www.vivoscuola.it/content/view/full/29811
istituto professionale per il settore dei servizi serale;https://www.vivoscuola.it/content/view/full/29812
istituto tecnico per il settore economico;https://www.vivoscuola.it/content/view/full/29813
istituto tecnico per il settore economico serale;https://www.vivoscuola.it/content/view/full/29814
"scuola primaria ""a. prandini"" roncone";https://www.vivoscuola.it/content/view/full/29668
scuola primaria bondo-breguzzo;https://www.vivoscuola.it/content/view/full/29669
scuola primaria ragoli;https://www.vivoscuola.it/content/view/full/29670
scuola primaria tione di trento;https://www.vivoscuola.it/content/view/full/29671
scuola primaria zuclo;https://www.vivoscuola.it/content/view/full/29672
"scuola secondaria di primo grado ""legione trentina"" tione di trento";https://www.vivoscuola.it/content/view/full/29673
scuola secondaria di primo grado roncone;https://www.vivoscuola.it/content/view/full/29674
settore servizi;https://www.vivoscuola.it/content/view/full/29269
capes - settore servizi;https://www.vivoscuola.it/content/view/full/170205
settore servizi;https://www.vivoscuola.it/content/view/full/29283
settore servizi serale;https://www.vivoscuola.it/content/view/full/29284
scuola primaria mori;https://www.vivoscuola.it/content/view/full/29602
scuola primaria ronzo chienis;https://www.vivoscuola.it/content/view/full/29603
"scuola secondaria di primo grado ""b. malfatti"" mori";https://www.vivoscuola.it/content/view/full/29604
scuola dell'infanzia di campitello di fassa;https://www.vivoscuola.it/content/view/full/29954
"scuola primaria ""a.de valentini"" calliano";https://www.vivoscuola.it/content/view/full/29441
"scuola primaria ""g. tovazzi"" volano";https://www.vivoscuola.it/content/view/full/29442
"scuola primaria ""s. pellico"" besenello";https://www.vivoscuola.it/content/view/full/29443
