index;academic year;school year;admission rate;school
451;2024/2025;3;16.666666666666664;461
452;2024/2025;4;42.857142857142854;461
453;2024/2025;5;80.0;461
454;2022/2023;1;95.1219512195122;462
455;2022/2023;2;96.42857142857143;462
456;2022/2023;3;100.0;462
457;2022/2023;4;92.85714285714286;462
458;2022/2023;5;93.54838709677419;462
459;2023/2024;1;96.7741935483871;462
460;2023/2024;2;94.5945945945946;462
461;2023/2024;3;96.42857142857143;462
462;2023/2024;4;100.0;462
463;2023/2024;5;100.0;462
464;2024/2025;1;91.66666666666666;462
465;2024/2025;2;96.66666666666667;462
466;2024/2025;3;94.28571428571428;462
467;2024/2025;4;100.0;462
468;2024/2025;5;100.0;462
469;2022/2023;1;97.2972972972973;464
470;2022/2023;2;100.0;464
471;2022/2023;3;97.05882352941177;464
472;2022/2023;4;96.96969696969697;464
473;2022/2023;5;100.0;464
474;2023/2024;1;83.33333333333334;464
475;2023/2024;2;96.7741935483871;464
476;2023/2024;3;100.0;464
477;2023/2024;4;100.0;464
478;2023/2024;5;97.2972972972973;464
479;2024/2025;1;92.85714285714286;464
480;2024/2025;2;90.0;464
481;2024/2025;3;100.0;464
482;2024/2025;4;100.0;464
483;2024/2025;5;100.0;464
484;2022/2023;1;100.0;463
485;2022/2023;2;100.0;463
486;2022/2023;3;96.55172413793103;463
487;2022/2023;4;100.0;463
488;2022/2023;5;100.0;463
489;2023/2024;1;100.0;463
490;2023/2024;2;89.28571428571429;463
491;2023/2024;3;83.33333333333334;463
492;2023/2024;4;100.0;463
493;2023/2024;5;96.42857142857143;463
494;2024/2025;1;95.23809523809523;463
495;2024/2025;2;95.45454545454545;463
496;2024/2025;3;100.0;463
497;2024/2025;4;100.0;463
498;2024/2025;5;100.0;463
499;2022/2023;1;88.88888888888889;41
500;2022/2023;2;78.26086956521739;41
501;2022/2023;3;76.92307692307693;41
502;2022/2023;4;100.0;41
503;2023/2024;1;76.19047619047619;41
504;2023/2024;2;79.06976744186046;41
505;2023/2024;3;76.0;41
506;2023/2024;4;88.23529411764706;41
507;2024/2025;1;90.0;41
508;2024/2025;2;88.88888888888889;41
509;2024/2025;3;76.92307692307693;41
510;2024/2025;4;100.0;41
511;2022/2023;1;0.0;40
512;2022/2023;2;0.0;40
513;2022/2023;3;0.0;40
514;2022/2023;4;0.0;40
515;2022/2023;5;0.0;40
516;2023/2024;1;0.0;40
517;2023/2024;2;0.0;40
518;2023/2024;3;0.0;40
519;2023/2024;4;0.0;40
520;2023/2024;5;0.0;40
521;2024/2025;1;0.0;40
522;2024/2025;2;0.0;40
523;2024/2025;3;0.0;40
524;2024/2025;4;0.0;40
525;2024/2025;5;72.72727272727273;40
526;2022/2023;1;83.9506172839506;554
527;2022/2023;2;98.10126582278481;554
528;2022/2023;3;86.95652173913044;554
529;2022/2023;4;92.42424242424242;554
530;2022/2023;5;94.63087248322147;554
531;2023/2024;1;86.1878453038674;554
532;2023/2024;2;93.5251798561151;554
533;2023/2024;3;85.2760736196319;554
534;2023/2024;4;91.12903225806451;554
535;2023/2024;5;95.16129032258065;554
536;2024/2025;1;85.0;554
537;2024/2025;2;92.99363057324841;554
538;2024/2025;3;88.35616438356165;554
539;2024/2025;4;94.28571428571428;554
540;2024/2025;5;97.5;554
541;2022/2023;1;0.0;552
542;2022/2023;2;0.0;552
543;2022/2023;3;83.33333333333334;552
544;2023/2024;1;0.0;552
545;2023/2024;2;0.0;552
546;2023/2024;3;73.03370786516854;552
547;2024/2025;1;35.294117647058826;552
548;2024/2025;2;0.0;552
549;2024/2025;3;75.0;552
550;2022/2023;1;5.0;556
551;2022/2023;2;45.45454545454545;556
552;2022/2023;3;16.666666666666664;556
553;2022/2023;4;61.53846153846154;556
554;2022/2023;5;89.28571428571429;556
555;2023/2024;1;7.5;556
556;2023/2024;2;25.0;556
557;2023/2024;3;15.686274509803921;556
558;2023/2024;4;75.0;556
559;2023/2024;5;75.0;556
560;2024/2025;1;10.909090909090908;556
561;2024/2025;2;12.5;556
562;2024/2025;3;30.909090909090907;556
563;2024/2025;4;50.0;556
564;2024/2025;5;81.48148148148148;556
565;2022/2023;1;75.40983606557377;555
566;2022/2023;2;85.71428571428571;555
567;2022/2023;3;94.28571428571428;555
568;2022/2023;4;93.61702127659575;555
569;2022/2023;5;81.57894736842105;555
570;2023/2024;1;76.78571428571429;555
571;2023/2024;2;86.88524590163934;555
572;2023/2024;3;91.42857142857143;555
573;2023/2024;4;95.52238805970148;555
574;2023/2024;5;97.5609756097561;555
575;2024/2025;1;78.94736842105263;555
576;2024/2025;2;89.47368421052632;555
577;2024/2025;3;91.66666666666666;555
578;2024/2025;4;97.05882352941177;555
579;2024/2025;5;96.92307692307692;555
580;2022/2023;1;100.0;420
581;2022/2023;2;100.0;420
582;2022/2023;3;100.0;420
583;2022/2023;4;100.0;420
584;2022/2023;5;100.0;420
585;2023/2024;1;100.0;420
586;2023/2024;2;100.0;420
587;2023/2024;3;100.0;420
588;2023/2024;4;100.0;420
589;2023/2024;5;100.0;420
590;2024/2025;1;100.0;420
591;2024/2025;2;100.0;420
592;2024/2025;3;100.0;420
593;2024/2025;4;100.0;420
594;2024/2025;5;100.0;420
595;2022/2023;1;100.0;421
596;2022/2023;2;98.07692307692307;421
597;2022/2023;3;100.0;421
598;2022/2023;4;100.0;421
