school;municipality
282;sarnonico
283;novella
284;borgo d'anaunia
285;stenico
286;san lorenzo dorsino
287;comano terme
288;fiavé
289;bleggio superiore
290;comano terme
291;rovereto
292;isera
293;rovereto
294;terre d'adige
295;lavis
296;lavis
297;lavis
298;caldonazzo
299;tenna
300;calceranica al lago
301;levico terme
302;levico terme
303;mezzocorona
304;san michele all'adige
305;roveré della luna
306;san michele all'adige
307;mezzocorona
308;mezzolombardo
309;fai della paganella
310;molveno
311;spormaggiore
312;andalo
313;terre d'adige
314;mezzolombardo
315;andalo
316;spormaggiore
317;mori
318;ronzo-chienis
319;mori
320;pergine valsugana
321;pergine valsugana
322;fierozzo
323;sant'orsola terme
324;pergine valsugana
325;pergine valsugana
326;pergine valsugana
327;pergine valsugana
328;pergine valsugana
329;pergine valsugana
330;pergine valsugana
331;tesero
332;ziano di fiemme
333;predazzo
334;tesero
335;predazzo
336;riva del garda
337;nago-torbole
338;riva del garda
339;riva del garda
340;riva del garda
341;riva del garda
342;tenno
343;riva del garda
344;vallarsa
345;terragnolo
346;rovereto
347;trambileno
348;rovereto
349;rovereto
350;rovereto
351;rovereto
352;rovereto
353;rovereto
354;rovereto
355;rovereto
356;pieve tesino
357;ospedaletto
358;samone
359;scurelle
360;castel ivano
361;castel ivano
362;castel ivano
363;castello tesino
364;predaia
365;predaia
366;predaia
367;predaia
368;predaia
369;sella giudicarie
370;sella giudicarie
371;tre ville
372;tione di trento
373;borgo lares
374;tione di trento
375;sella giudicarie
376;trento
377;trento
378;trento
379;trento
380;trento
381;trento
382;trento
383;trento
384;trento
385;trento
386;trento
387;trento
388;trento
389;trento
390;trento
391;trento
392;trento
393;trento
394;trento
395;trento
396;trento
397;trento
398;trento
399;trento
400;trento
401;trento
402;trento
403;trento
404;trento
405;trento
406;trento
407;trento
408;trento
409;tre ville
410;pinzolo
411;spiazzo
412;caderzone terme
413;giustino
414;carisolo
415;porte di rendena
416;spiazzo
417;tre ville
418;pinzolo
419;madruzzo
420;cavedine
421;dro
422;dro
423;madruzzo
424;vallelaghi
425;vallelaghi
426;cavedine
427;cavedine
428;dro
429;vallelaghi
430;ledro
431;ledro
432;ledro
433;ledro
434;altopiano della vigolana
435;altopiano della vigolana
436;altopiano della vigolana
437;altopiano della vigolana
438;nomi
439;villa lagarina
440;pomarolo
441;nogaredo
442;villa lagarina
443;levico terme
444;levico terme
445;levico terme
446;levico terme
447;rovereto
448;rovereto
449;rovereto
450;rovereto
451;trento
452;trento
453;trento
454;trento
455;trento
456;borgo valsugana
457;borgo valsugana
458;borgo valsugana
459;borgo valsugana
460;borgo valsugana
461;borgo valsugana
462;borgo valsugana
463;borgo valsugana
464;borgo valsugana
465;rovereto
466;rovereto
467;rovereto
468;rovereto
469;rovereto
470;tione di trento
471;tione di trento
472;tione di trento
473;tione di trento
474;tione di trento
475;tione di trento
476;tione di trento
477;tione di trento
478;tione di trento
479;cavalese
480;predazzo
481;predazzo
482;cavalese
483;predazzo
484;cavalese
485;cavalese
486;cavalese
487;cavalese
488;pergine valsugana
489;levico terme
490;pergine valsugana
491;pergine valsugana
492;pergine valsugana
