index;academic year;school year;number of students;number of classes;school
2517;2024/2025;1;124;6;302
2518;2024/2025;2;146;7;302
2519;2024/2025;3;137;6;302
2520;2023/2024;1;149;7;302
2521;2023/2024;2;138;6;302
2522;2023/2024;3;166;8;302
2523;2025/2026;1;58;3;301
2524;2025/2026;2;81;4;301
2525;2025/2026;3;57;3;301
2526;2025/2026;4;62;3;301
2527;2025/2026;5;61;3;301
2528;2024/2025;1;86;4;301
2529;2024/2025;2;59;3;301
2530;2024/2025;3;62;3;301
2531;2024/2025;4;67;3;301
2532;2024/2025;5;86;4;301
2533;2023/2024;1;60;3;301
2534;2023/2024;2;60;3;301
2535;2023/2024;3;69;3;301
2536;2023/2024;4;86;4;301
2537;2023/2024;5;63;3;301
2538;2025/2026;1;39;2;298
2539;2025/2026;2;32;2;298
2540;2025/2026;3;38;2;298
2541;2025/2026;4;36;2;298
2542;2025/2026;5;38;2;298
2543;2024/2025;1;31;2;298
2544;2024/2025;2;36;2;298
2545;2024/2025;3;36;2;298
2546;2024/2025;4;39;2;298
2547;2024/2025;5;40;2;298
2548;2023/2024;1;36;2;298
2549;2023/2024;2;36;2;298
2550;2023/2024;3;40;2;298
2551;2023/2024;4;39;2;298
2552;2023/2024;5;39;2;298
2553;2025/2026;1;63;3;471
2554;2025/2026;2;40;2;471
2555;2025/2026;3;34;2;471
2556;2025/2026;4;38;3;471
2557;2025/2026;5;36;2;471
2558;2024/2025;1;53;3;471
2559;2024/2025;2;42;2;471
2560;2024/2025;3;39;3;471
2561;2024/2025;4;38;2;471
2562;2024/2025;5;34;2;471
2563;2023/2024;1;60;3;471
2564;2023/2024;2;43;2;471
2565;2023/2024;3;38;2;471
2566;2023/2024;4;36;2;471
2567;2023/2024;5;36;3;471
2568;2025/2026;1;35;5;470
2569;2025/2026;3;16;1;470
2570;2025/2026;1;86;5;470
2571;2025/2026;3;16;1;470
2572;2024/2025;1;236;4;470
2573;2024/2025;3;16;1;470
2574;2024/2025;1;112;4;470
2575;2024/2025;3;16;1;470
2576;2023/2024;1;216;4;470
2577;2023/2024;3;11;1;470
2578;2023/2024;1;97;4;470
2579;2023/2024;3;11;1;470
2580;2025/2026;1;36;2;473
2581;2025/2026;2;27;2;473
2582;2025/2026;3;20;2;473
2583;2025/2026;4;19;2;473
2584;2025/2026;5;17;1;473
2585;2024/2025;1;39;2;473
2586;2024/2025;2;30;2;473
2587;2024/2025;3;19;2;473
2588;2024/2025;4;18;1;473
2589;2024/2025;5;10;1;473
2590;2023/2024;1;45;2;473
2591;2023/2024;2;31;2;473
2592;2023/2024;3;16;1;473
2593;2023/2024;4;14;1;473
2594;2023/2024;5;22;2;473
2595;2025/2026;0;11;0;669
2596;2024/2025;0;14;0;669
2597;2023/2024;0;17;0;669
2598;2025/2026;2;6;1;472
2599;2025/2026;4;24;3;472
2600;2025/2026;2;6;1;472
2601;2025/2026;3;12;1;472
2602;2025/2026;4;8;1;472
2603;2025/2026;5;4;1;472
2604;2024/2025;2;8;1;472
2605;2024/2025;4;15;3;472
2606;2024/2025;2;8;1;472
2607;2024/2025;3;8;2;472
2608;2024/2025;4;5;1;472
2609;2024/2025;5;4;1;472
2610;2023/2024;4;12;3;472
2611;2023/2024;3;14;1;472
2612;2023/2024;4;4;1;472
2613;2023/2024;5;4;1;472
2614;2025/2026;3;27;3;474
2615;2025/2026;3;9;1;474
2616;2025/2026;4;3;1;474
2617;2025/2026;5;3;1;474
2618;2024/2025;3;12;3;474
2619;2024/2025;3;4;1;474
2620;2024/2025;4;3;1;474
2621;2024/2025;5;2;1;474
2622;2023/2024;3;15;3;474
2623;2023/2024;3;5;1;474
2624;2023/2024;4;3;1;474
2625;2023/2024;5;3;1;474
2626;2025/2026;1;40;2;475
2627;2025/2026;2;45;2;475
2628;2025/2026;3;29;2;475
2629;2025/2026;4;34;2;475
2630;2025/2026;5;32;2;475
2631;2024/2025;1;51;2;475
2632;2024/2025;2;31;2;475
2633;2024/2025;3;35;2;475
2634;2024/2025;4;33;2;475
2635;2024/2025;5;23;1;475
2636;2023/2024;1;38;2;475
2637;2023/2024;2;36;2;475
2638;2023/2024;3;31;2;475
2639;2023/2024;4;25;1;475
2640;2023/2024;5;29;2;475
2641;2025/2026;1;23;1;476
2642;2025/2026;2;8;1;476
2643;2025/2026;3;32;2;476
2644;2025/2026;4;29;2;476
2645;2025/2026;5;24;1;476
2646;2024/2025;1;13;1;476
2647;2024/2025;2;33;2;476
2648;2024/2025;3;29;2;476
2649;2024/2025;4;22;1;476
2650;2024/2025;5;30;2;476
2651;2023/2024;1;34;2;476
2652;2023/2024;2;32;2;476
2653;2023/2024;3;26;1;476
2654;2023/2024;4;30;2;476
2655;2023/2024;5;30;2;476
2656;2025/2026;1;31;2;478
2657;2025/2026;2;24;2;478
2658;2025/2026;3;29;2;478
2659;2025/2026;4;31;2;478
2660;2025/2026;5;22;1;478
2661;2024/2025;1;26;2;478
2662;2024/2025;2;30;2;478
2663;2024/2025;3;32;2;478
2664;2024/2025;4;23;1;478
2665;2024/2025;5;21;1;478
2666;2023/2024;1;28;2;478
2667;2023/2024;2;39;2;478
2668;2023/2024;3;23;1;478
2669;2023/2024;4;22;1;478
2670;2023/2024;5;14;1;478
2671;2025/2026;1;37;2;477
2672;2025/2026;2;31;2;477
2673;2025/2026;3;34;2;477
2674;2025/2026;4;27;2;477
2675;2025/2026;5;36;2;477
2676;2024/2025;1;38;2;477
2677;2024/2025;2;35;2;477
2678;2024/2025;3;25;2;477
2679;2024/2025;4;36;2;477
2680;2024/2025;5;44;3;477
2681;2023/2024;1;42;2;477
2682;2023/2024;2;30;2;477
2683;2023/2024;3;37;2;477
2684;2023/2024;4;44;3;477
2685;2023/2024;5;28;2;477
2686;2025/2026;1;85;5;466
2687;2025/2026;2;105;5;466
2688;2025/2026;3;80;4;466
2689;2025/2026;4;87;5;466
2690;2025/2026;5;59;4;466
2691;2024/2025;1;104;5;466
2692;2024/2025;2;83;4;466
2693;2024/2025;3;98;5;466
2694;2024/2025;4;65;4;466
2695;2024/2025;5;60;3;466
2696;2023/2024;1;72;3;466
2697;2023/2024;2;96;4;466
2698;2023/2024;3;67;4;466
2699;2023/2024;4;64;3;466
2700;2023/2024;5;82;4;466
2701;2025/2026;1;102;6;465
2702;2025/2026;3;33;3;465
2703;2025/2026;1;87;6;465
2704;2025/2026;3;33;3;465
2705;2024/2025;1;1099;19;465
2706;2024/2025;1;588;15;465
2707;2024/2025;3;63;3;465
2708;2023/2024;1;552;12;465
2709;2023/2024;3;66;3;465
2710;2023/2024;1;520;11;465
2711;2023/2024;3;65;3;465
2712;2025/2026;1;30;5;467
2713;2025/2026;1;6;1;467
2714;2025/2026;2;1;1;467
2715;2025/2026;3;13;1;467
2716;2025/2026;4;20;1;467
2717;2025/2026;5;15;1;467
2718;2024/2025;1;15;5;467
2719;2024/2025;1;3;1;467
2720;2024/2025;2;4;1;467
2721;2024/2025;3;19;1;467
2722;2024/2025;4;21;1;467
2723;2024/2025;5;11;1;467
2724;2023/2024;1;10;5;467
2725;2023/2024;1;2;1;467
2726;2023/2024;2;3;1;467
2727;2023/2024;3;20;1;467
2728;2023/2024;4;28;1;467
2729;2023/2024;5;12;1;467
2730;2025/2026;1;61;3;468
2731;2025/2026;2;54;3;468
2732;2025/2026;3;42;3;468
2733;2025/2026;4;51;3;468
2734;2025/2026;5;45;3;468
2735;2024/2025;1;59;3;468
2736;2024/2025;2;55;3;468
2737;2024/2025;3;51;3;468
2738;2024/2025;4;49;3;468
2739;2024/2025;5;40;3;468
2740;2023/2024;1;68;3;468
2741;2023/2024;2;59;3;468
2742;2023/2024;3;52;3;468
2743;2023/2024;4;40;3;468
2744;2023/2024;5;82;4;468
2745;2025/2026;1;4;2;469
2746;2025/2026;3;30;3;469
2747;2025/2026;1;2;1;469
2748;2025/2026;2;2;1;469
2749;2025/2026;3;10;1;469
2750;2025/2026;4;9;1;469
2751;2025/2026;5;6;1;469
2752;2024/2025;1;10;2;469
2753;2024/2025;3;30;3;469
2754;2024/2025;1;5;1;469
2755;2024/2025;2;4;1;469
2756;2024/2025;3;10;1;469
2757;2024/2025;4;13;1;469
2758;2024/2025;5;5;1;469
2759;2023/2024;1;10;2;469
2760;2023/2024;3;45;3;469
2761;2023/2024;1;5;1;469
2762;2023/2024;2;3;1;469
2763;2023/2024;3;15;1;469
2764;2023/2024;4;13;1;469
2765;2023/2024;5;3;1;469
2766;2025/2026;1;13;1;369
2767;2025/2026;2;18;1;369
2768;2025/2026;3;15;1;369
2769;2025/2026;4;20;1;369
2770;2025/2026;5;14;1;369
2771;2024/2025;1;18;1;369
2772;2024/2025;2;12;1;369
2773;2024/2025;3;21;1;369
2774;2024/2025;4;13;1;369
2775;2024/2025;5;12;1;369
2776;2023/2024;1;13;1;369
2777;2023/2024;2;18;1;369
2778;2023/2024;3;14;1;369
2779;2023/2024;4;12;1;369
2780;2023/2024;5;18;1;369
2781;2025/2026;1;6;1;371
2782;2025/2026;2;4;1;371
2783;2025/2026;3;11;1;371
2784;2025/2026;4;7;1;371
2785;2025/2026;5;11;1;371
2786;2024/2025;1;4;1;371
2787;2024/2025;2;12;1;371
2788;2024/2025;3;7;1;371
2789;2024/2025;4;13;1;371
2790;2024/2025;5;8;1;371
2791;2023/2024;1;11;1;371
2792;2023/2024;2;8;1;371
2793;2023/2024;3;13;1;371
2794;2023/2024;4;8;1;371
2795;2023/2024;5;13;1;371
2796;2025/2026;1;25;2;372
2797;2025/2026;2;25;2;372
2798;2025/2026;3;40;2;372
2799;2025/2026;4;30;2;372
2800;2025/2026;5;39;2;372
2801;2024/2025;1;26;2;372
2802;2024/2025;2;39;2;372
2803;2024/2025;3;29;2;372
2804;2024/2025;4;37;2;372
2805;2024/2025;5;36;2;372
2806;2023/2024;1;41;2;372
2807;2023/2024;2;30;2;372
2808;2023/2024;3;37;2;372
2809;2023/2024;4;34;2;372
2810;2023/2024;5;34;2;372
2811;2025/2026;1;12;1;370
2812;2025/2026;2;11;1;370
2813;2025/2026;3;16;1;370
2814;2025/2026;4;15;1;370
2815;2025/2026;5;21;1;370
2816;2024/2025;1;11;1;370
2817;2024/2025;2;17;1;370
2818;2024/2025;3;16;1;370
2819;2024/2025;4;22;1;370
2820;2024/2025;5;15;1;370
2821;2023/2024;1;17;1;370
2822;2023/2024;2;17;1;370
2823;2023/2024;3;21;1;370
2824;2023/2024;4;15;1;370
2825;2023/2024;5;17;1;370
2826;2025/2026;1;28;2;375
2827;2025/2026;2;31;2;375
2828;2025/2026;3;26;1;375
2829;2024/2025;1;31;2;375
2830;2024/2025;2;26;1;375
2831;2024/2025;3;25;1;375
2832;2023/2024;1;25;1;375
2833;2023/2024;2;25;1;375
2834;2023/2024;3;19;1;375
2835;2025/2026;1;57;3;374
2836;2025/2026;2;61;3;374
2837;2025/2026;3;68;3;374
2838;2024/2025;1;66;3;374
2839;2024/2025;2;68;3;374
2840;2024/2025;3;71;3;374
2841;2023/2024;1;69;3;374
2842;2023/2024;2;67;3;374
2843;2023/2024;3;73;3;374
2844;2025/2026;1;8;1;373
2845;2025/2026;2;16;1;373
2846;2025/2026;3;15;1;373
2847;2025/2026;4;16;1;373
2848;2025/2026;5;13;1;373
2849;2024/2025;1;16;1;373
2850;2024/2025;2;15;1;373
2851;2024/2025;3;16;1;373
2852;2024/2025;4;14;1;373
2853;2024/2025;5;10;1;373
2854;2023/2024;1;16;1;373
2855;2023/2024;2;17;1;373
2856;2023/2024;3;15;1;373
2857;2023/2024;4;10;1;373
2858;2023/2024;5;12;1;373
2859;2025/2026;1;51;3;28
2860;2025/2026;2;51;2;28
2861;2025/2026;3;61;4;28
2862;2025/2026;4;35;2;28
2863;2024/2025;1;52;2;28
2864;2024/2025;2;63;4;28
2865;2024/2025;3;44;2;28
2866;2024/2025;4;25;2;28
2867;2023/2024;1;66;3;28
2868;2023/2024;2;41;2;28
2869;2023/2024;3;55;3;28
2870;2023/2024;4;36;2;28
2871;2025/2026;5;32;2;42
2872;2024/2025;5;51;2;42
2873;2025/2026;1;90;4;319
2874;2025/2026;2;91;4;319
2875;2025/2026;3;90;4;319
2876;2024/2025;1;90;4;319
2877;2024/2025;2;89;4;319
2878;2024/2025;3;89;4;319
2879;2023/2024;1;89;4;319
2880;2023/2024;2;85;4;319
2881;2023/2024;3;118;5;319
2882;2025/2026;4;17;3;44
2883;2025/2026;2;23;3;44
2884;2025/2026;3;22;3;44
2885;2025/2026;2;27;3;44
2886;2025/2026;3;22;3;44
2887;2025/2026;4;17;3;44
2888;2024/2025;3;58;6;44
2889;2024/2025;3;57;6;44
2890;2023/2024;3;72;6;44
2891;2023/2024;3;64;6;44
2892;2025/2026;1;80;4;317
2893;2025/2026;2;69;3;317
2894;2025/2026;3;88;4;317
2895;2025/2026;4;76;3;317
2896;2025/2026;5;88;4;317
2897;2024/2025;1;69;3;317
2898;2024/2025;2;85;4;317
2899;2024/2025;3;76;3;317
2900;2024/2025;4;89;4;317
2901;2024/2025;5;86;4;317
2902;2023/2024;1;84;4;317
2903;2023/2024;2;77;3;317
2904;2023/2024;3;87;4;317
2905;2023/2024;4;84;4;317
2906;2023/2024;5;81;4;317
2907;2025/2026;1;60;3;43
2908;2025/2026;2;82;4;43
2909;2025/2026;3;80;4;43
2910;2025/2026;4;52;2;43
2911;2024/2025;1;93;4;43
2912;2024/2025;2;94;4;43
2913;2024/2025;3;79;4;43
2914;2024/2025;4;46;3;43
2915;2023/2024;1;118;5;43
2916;2023/2024;2;89;4;43
2917;2023/2024;3;78;4;43
2918;2023/2024;4;61;3;43
2919;2023/2024;5;44;2;43
2920;2025/2026;1;30;2;179
2921;2025/2026;2;23;2;179
2922;2025/2026;3;18;1;179
2923;2025/2026;4;26;1;179
2924;2025/2026;5;19;1;179
2925;2024/2025;1;24;2;179
2926;2024/2025;2;17;1;179
2927;2024/2025;3;26;1;179
2928;2024/2025;4;19;1;179
2929;2024/2025;5;19;1;179
2930;2023/2024;1;16;1;179
2931;2023/2024;2;27;1;179
2932;2023/2024;3;19;1;179
2933;2023/2024;4;19;1;179
2934;2023/2024;5;25;2;179
2935;2025/2026;0;17;0;593
2936;2024/2025;0;22;0;593
2937;2023/2024;0;18;0;593
2938;2025/2026;1;18;1;318
2939;2025/2026;2;11;1;318
2940;2025/2026;3;16;1;318
2941;2025/2026;4;15;1;318
2942;2025/2026;5;16;1;318
2943;2024/2025;1;11;1;318
2944;2024/2025;2;17;1;318
2945;2024/2025;3;15;1;318
2946;2024/2025;4;16;1;318
2947;2024/2025;5;13;1;318
2948;2023/2024;1;17;1;318
2949;2023/2024;2;13;1;318
2950;2023/2024;3;15;1;318
2951;2023/2024;4;13;1;318
2952;2023/2024;5;11;1;318
2953;2025/2026;1;26;2;180
2954;2025/2026;2;27;2;180
2955;2025/2026;3;19;1;180
2956;2025/2026;4;19;1;180
2957;2025/2026;5;23;2;180
2958;2024/2025;1;25;2;180
2959;2024/2025;2;20;1;180
2960;2024/2025;3;20;1;180
2961;2024/2025;4;25;2;180
2962;2024/2025;5;30;2;180
2963;2023/2024;1;16;1;180
2964;2023/2024;2;19;1;180
2965;2023/2024;3;26;2;180
2966;2023/2024;4;29;2;180
2967;2023/2024;5;26;2;180
2968;2025/2026;0;36;0;680
2969;2024/2025;0;28;0;680
2970;2023/2024;0;29;0;680
2971;2025/2026;0;83;0;91
2972;2024/2025;0;85;0;91
2973;2023/2024;0;90;0;91
2974;2025/2026;0;28;0;647
2975;2024/2025;0;44;0;647
2976;2023/2024;0;54;0;647
2977;2025/2026;1;31;2;181
2978;2025/2026;2;30;2;181
2979;2025/2026;3;32;2;181
2980;2025/2026;4;20;1;181
2981;2025/2026;5;27;2;181
2982;2024/2025;1;29;2;181
2983;2024/2025;2;32;2;181
2984;2024/2025;3;22;1;181
2985;2024/2025;4;29;2;181
2986;2024/2025;5;36;2;181
2987;2023/2024;1;32;2;181
2988;2023/2024;2;21;1;181
2989;2023/2024;3;28;2;181
2990;2023/2024;4;35;2;181
2991;2023/2024;5;21;1;181
2992;2025/2026;1;79;4;182
2993;2025/2026;2;64;3;182
2994;2025/2026;3;81;4;182
2995;2024/2025;1;62;3;182
2996;2024/2025;2;79;4;182
2997;2024/2025;3;55;3;182
2998;2023/2024;1;79;4;182
2999;2023/2024;2;54;3;182
3000;2023/2024;3;76;4;182
3001;2025/2026;0;45;0;93
3002;2024/2025;0;39;0;93
3003;2023/2024;0;37;0;93
3004;2025/2026;0;62;0;96
3005;2024/2025;0;66;0;96
3006;2023/2024;0;66;0;96
3007;2025/2026;0;58;0;92
3008;2024/2025;0;50;0;92
3009;2023/2024;0;52;0;92
3010;2025/2026;0;40;0;98
3011;2024/2025;0;38;0;98
3012;2023/2024;0;48;0;98
3013;2025/2026;0;68;0;94
3014;2024/2025;0;66;0;94
3015;2023/2024;0;72;0;94
3016;2025/2026;0;53;0;95
3017;2024/2025;0;81;0;95
3018;2023/2024;0;88;0;95
3019;2025/2026;0;64;0;97
3020;2024/2025;0;69;0;97
3021;2023/2024;0;64;0;97
3022;2025/2026;1;156;13;488
3023;2025/2026;3;25;1;488
3024;2025/2026;1;130;12;488
3025;2025/2026;3;25;1;488
3026;2024/2025;1;336;6;488
3027;2024/2025;3;25;1;488
3028;2024/2025;1;235;5;488
3029;2024/2025;3;25;1;488
3030;2023/2024;1;205;5;488
3031;2023/2024;3;20;1;488
3032;2023/2024;1;222;5;488
3033;2023/2024;3;20;1;488
3034;2025/2026;4;18;3;491
3035;2025/2026;3;5;1;491
3036;2025/2026;4;6;1;491
3037;2025/2026;5;5;1;491
3038;2024/2025;4;30;3;491
3039;2024/2025;3;13;2;491
3040;2024/2025;4;10;3;491
3041;2024/2025;5;2;1;491
3042;2023/2024;4;21;3;491
3043;2023/2024;3;19;1;491
3044;2023/2024;4;7;2;491
3045;2023/2024;5;8;1;491
3046;2025/2026;1;19;1;489
3047;2025/2026;2;18;1;489
3048;2025/2026;3;19;1;489
3049;2025/2026;4;11;1;489
3050;2025/2026;5;7;1;489
3051;2024/2025;1;19;1;489
3052;2024/2025;2;23;1;489
3053;2024/2025;3;12;1;489
3054;2024/2025;4;8;1;489
3055;2024/2025;5;14;1;489
3056;2023/2024;1;22;1;489
3057;2023/2024;2;16;1;489
3058;2023/2024;3;8;1;489
3059;2023/2024;4;13;1;489
3060;2023/2024;5;17;1;489
3061;2025/2026;1;33;2;490
3062;2025/2026;2;18;1;490
3063;2025/2026;3;27;1;490
3064;2025/2026;4;19;1;490
3065;2025/2026;5;18;1;490
3066;2024/2025;1;21;1;490
3067;2024/2025;2;26;1;490
3068;2024/2025;3;22;1;490
3069;2024/2025;4;17;1;490
3070;2024/2025;5;22;1;490
3071;2023/2024;1;27;1;490
3072;2023/2024;2;24;1;490
3073;2023/2024;3;17;1;490
3074;2023/2024;4;23;1;490
3075;2023/2024;5;21;2;490
3076;2025/2026;1;51;2;492
3077;2025/2026;2;38;2;492
3078;2025/2026;3;37;2;492
3079;2025/2026;4;32;2;492
3080;2025/2026;5;26;2;492
3081;2024/2025;1;52;2;492
3082;2024/2025;2;34;2;492
3083;2024/2025;3;37;2;492
3084;2024/2025;4;28;2;492
3085;2024/2025;5;25;2;492
3086;2023/2024;1;52;2;492
3087;2023/2024;2;39;2;492
3088;2023/2024;3;36;2;492
3089;2023/2024;4;31;2;492
3090;2023/2024;5;35;2;492
3091;2025/2026;2;9;1;493
3092;2025/2026;3;39;3;493
3093;2025/2026;2;9;1;493
3094;2025/2026;3;13;1;493
3095;2025/2026;4;6;1;493
3096;2025/2026;5;3;1;493
3097;2024/2025;2;11;1;493
3098;2024/2025;3;36;3;493
3099;2024/2025;2;11;1;493
3100;2024/2025;3;12;1;493
3101;2024/2025;4;6;1;493
3102;2024/2025;5;2;1;493
3103;2023/2024;3;24;3;493
3104;2023/2024;3;8;1;493
3105;2023/2024;4;4;2;493
3106;2023/2024;5;1;1;493
3107;2025/2026;1;11;1;498
3108;2025/2026;2;21;1;498
3109;2025/2026;3;19;1;498
3110;2025/2026;4;20;1;498
3111;2025/2026;5;15;1;498
3112;2024/2025;1;20;1;498
3113;2024/2025;2;19;1;498
3114;2024/2025;3;20;1;498
3115;2024/2025;4;14;1;498
3116;2024/2025;5;11;1;498
3117;2023/2024;1;27;1;498
3118;2023/2024;2;22;1;498
3119;2023/2024;3;14;1;498
3120;2023/2024;4;10;1;498
3121;2023/2024;5;13;1;498
3122;2025/2026;1;40;2;496
3123;2025/2026;2;45;2;496
3124;2025/2026;3;25;1;496
3125;2025/2026;4;18;1;496
3126;2025/2026;5;24;1;496
3127;2024/2025;1;47;2;496
3128;2024/2025;2;23;1;496
3129;2024/2025;3;20;1;496
3130;2024/2025;4;22;1;496
3131;2024/2025;5;21;1;496
3132;2023/2024;1;23;1;496
3133;2023/2024;2;20;1;496
3134;2023/2024;3;24;1;496
3135;2023/2024;4;23;1;496
3136;2023/2024;5;35;2;496
3137;2025/2026;1;27;2;495
3138;2025/2026;2;21;1;495
3139;2025/2026;3;28;2;495
3140;2025/2026;4;26;2;495
3141;2025/2026;5;18;1;495
3142;2024/2025;1;22;1;495
3143;2024/2025;2;31;2;495
3144;2024/2025;3;27;2;495
3145;2024/2025;4;18;1;495
3146;2024/2025;5;23;2;495
3147;2023/2024;1;34;2;495
3148;2023/2024;2;30;2;495
3149;2023/2024;3;19;1;495
3150;2023/2024;4;24;2;495
3151;2023/2024;5;13;1;495
3152;2025/2026;1;33;2;497
3153;2025/2026;2;32;2;497
3154;2025/2026;3;39;2;497
3155;2025/2026;4;25;1;497
3156;2025/2026;5;18;1;497
3157;2024/2025;1;36;2;497
3158;2024/2025;2;40;2;497
3159;2024/2025;3;24;1;497
3160;2024/2025;4;18;1;497
3161;2024/2025;5;19;1;497
3162;2023/2024;1;38;2;497
3163;2023/2024;2;25;1;497
3164;2023/2024;3;20;1;497
3165;2023/2024;4;20;1;497
3166;2023/2024;5;17;1;497
3167;2025/2026;1;276;13;520
3168;2025/2026;2;251;12;520
3169;2025/2026;3;196;11;520
3170;2025/2026;4;182;11;520
3171;2025/2026;5;150;9;520
3172;2024/2025;1;278;12;520
3173;2024/2025;2;204;10;520
3174;2024/2025;3;186;11;520
3175;2024/2025;4;168;9;520
3176;2024/2025;5;125;8;520
3177;2023/2024;1;226;10;520
3178;2023/2024;2;201;10;520
3179;2023/2024;3;172;9;520
3180;2023/2024;4;153;8;520
3181;2023/2024;5;128;9;520
3182;2025/2026;0;207;0;639
3183;2024/2025;0;216;0;639
3184;2023/2024;0;214;0;639
3185;2025/2026;1;59;3;169
3186;2025/2026;2;47;2;169
3187;2025/2026;3;52;3;169
3188;2025/2026;4;58;3;169
3189;2025/2026;5;57;3;169
3190;2024/2025;1;46;2;169
3191;2024/2025;2;52;3;169
3192;2024/2025;3;58;3;169
3193;2024/2025;4;57;3;169
3194;2024/2025;5;65;3;169
3195;2023/2024;1;57;3;169
3196;2023/2024;2;63;3;169
3197;2023/2024;3;58;3;169
3198;2023/2024;4;67;3;169
3199;2023/2024;5;64;3;169
3200;2025/2026;1;33;2;167
3201;2025/2026;2;20;1;167
3202;2025/2026;3;37;2;167
3203;2025/2026;4;29;2;167
3204;2025/2026;5;36;2;167
3205;2024/2025;1;21;1;167
3206;2024/2025;2;38;2;167
3207;2024/2025;3;30;2;167
3208;2024/2025;4;37;2;167
3209;2024/2025;5;39;2;167
3210;2023/2024;1;37;2;167
3211;2023/2024;2;28;2;167
3212;2023/2024;3;37;2;167
3213;2023/2024;4;36;2;167
3214;2023/2024;5;36;2;167
3215;2025/2026;1;42;3;521
3216;2025/2026;3;160;9;521
3217;2025/2026;1;14;1;521
3218;2025/2026;2;11;2;521
3219;2025/2026;3;37;3;521
3220;2025/2026;4;25;3;521
3221;2025/2026;5;16;2;521
3222;2024/2025;1;30;2;521
3223;2024/2025;3;129;6;521
3224;2024/2025;1;15;1;521
3225;2024/2025;2;15;1;521
3226;2024/2025;3;43;2;521
3227;2024/2025;4;36;2;521
3228;2024/2025;5;23;2;521
3229;2023/2024;1;16;2;521
3230;2023/2024;3;140;7;521
3231;2023/2024;1;8;1;521
3232;2023/2024;2;14;1;521
3233;2023/2024;3;43;2;521
3234;2023/2024;4;40;2;521
3235;2023/2024;5;17;2;521
3236;2025/2026;1;9;1;168
3237;2025/2026;2;6;1;168
3238;2025/2026;3;9;1;168
3239;2025/2026;4;9;1;168
3240;2025/2026;5;11;1;168
3241;2024/2025;1;7;1;168
3242;2024/2025;2;9;1;168
3243;2024/2025;3;10;1;168
3244;2024/2025;4;11;1;168
3245;2024/2025;5;7;1;168
3246;2023/2024;1;10;1;168
3247;2023/2024;2;10;1;168
3248;2023/2024;3;12;1;168
3249;2023/2024;4;8;1;168
3250;2023/2024;5;12;1;168
3251;2025/2026;1;7;1;170
3252;2025/2026;2;15;1;170
3253;2025/2026;3;15;1;170
3254;2025/2026;4;10;1;170
3255;2025/2026;5;12;1;170
3256;2024/2025;1;16;1;170
3257;2024/2025;2;18;1;170
3258;2024/2025;3;9;1;170
3259;2024/2025;4;13;1;170
3260;2024/2025;5;15;1;170
3261;2023/2024;1;19;1;170
3262;2023/2024;2;10;1;170
3263;2023/2024;3;15;1;170
3264;2023/2024;4;16;1;170
3265;2023/2024;5;13;1;170
3266;2025/2026;1;77;4;171
3267;2025/2026;2;83;4;171
3268;2025/2026;3;74;3;171
3269;2024/2025;1;80;4;171
3270;2024/2025;2;75;3;171
3271;2024/2025;3;84;4;171
3272;2023/2024;1;76;3;171
3273;2023/2024;2;85;4;171
3274;2023/2024;3;91;4;171
3275;2025/2026;5;12;1;12
3276;2024/2025;5;12;1;12
3277;2025/2026;1;43;2;172
3278;2025/2026;2;51;3;172
3279;2025/2026;3;36;2;172
3280;2024/2025;1;51;3;172
3281;2024/2025;2;36;2;172
3282;2024/2025;3;39;2;172
3283;2023/2024;1;33;2;172
3284;2023/2024;2;41;2;172
3285;2023/2024;3;36;2;172
3286;2025/2026;0;44;0;713
3287;2024/2025;0;44;0;713
3288;2023/2024;0;47;0;713
3289;2025/2026;0;53;0;708
3290;2024/2025;0;52;0;708
3291;2023/2024;0;58;0;708
3292;2025/2026;1;18;1;13
3293;2025/2026;2;18;2;13
3294;2025/2026;3;33;2;13
3295;2025/2026;4;16;2;13
3296;2024/2025;1;17;1;13
3297;2024/2025;2;37;2;13
3298;2024/2025;3;21;2;13
3299;2024/2025;4;18;2;13
3300;2023/2024;1;34;2;13
3301;2023/2024;2;21;2;13
3302;2023/2024;3;23;2;13
3303;2023/2024;4;15;2;13
3304;2025/2026;1;6;1;344
3305;2025/2026;2;16;1;344
3306;2025/2026;3;10;1;344
3307;2025/2026;4;11;1;344
3308;2025/2026;5;6;1;344
3309;2024/2025;1;18;1;344
3310;2024/2025;2;10;1;344
3311;2024/2025;3;10;1;344
3312;2024/2025;4;6;1;344
3313;2024/2025;5;6;1;344
3314;2023/2024;1;10;1;344
3315;2023/2024;2;9;1;344
3316;2023/2024;3;6;1;344
3317;2023/2024;4;7;1;344
3318;2023/2024;5;13;1;344
3319;2025/2026;0;11;0;650
3320;2024/2025;0;17;0;650
3321;2023/2024;0;22;0;650
3322;2025/2026;1;72;4;346
3323;2025/2026;2;83;4;346
3324;2025/2026;3;75;4;346
3325;2025/2026;4;77;4;346
3326;2025/2026;5;74;4;346
3327;2024/2025;1;90;4;346
3328;2024/2025;2;75;4;346
3329;2024/2025;3;75;4;346
3330;2024/2025;4;77;4;346
3331;2024/2025;5;77;4;346
3332;2023/2024;1;75;4;346
3333;2023/2024;2;78;4;346
3334;2023/2024;3;74;4;346
3335;2023/2024;4;79;4;346
3336;2023/2024;5;76;4;346
3337;2025/2026;1;7;1;347
3338;2025/2026;2;13;1;347
