index;academic year;school year;number of students;number of classes;school
524;2024/2025;2;31;2;464
525;2024/2025;3;30;2;464
526;2024/2025;4;35;2;464
527;2024/2025;5;33;2;464
528;2023/2024;1;39;2;464
529;2023/2024;2;36;2;464
530;2023/2024;3;35;2;464
531;2023/2024;4;34;2;464
532;2023/2024;5;38;2;464
533;2025/2026;1;20;1;463
534;2025/2026;2;19;1;463
535;2025/2026;3;22;1;463
536;2025/2026;4;22;2;463
537;2025/2026;5;6;2;463
538;2024/2025;1;24;1;463
539;2024/2025;2;25;1;463
540;2024/2025;3;25;2;463
541;2024/2025;4;5;1;463
542;2024/2025;5;28;2;463
543;2023/2024;1;24;1;463
544;2023/2024;2;29;2;463
545;2023/2024;3;6;1;463
546;2023/2024;4;28;2;463
547;2023/2024;5;28;2;463
548;2025/2026;0;8;0;664
549;2024/2025;0;5;0;664
550;2023/2024;0;7;0;664
551;2025/2026;0;45;0;678
552;2024/2025;0;57;0;678
553;2023/2024;0;42;0;678
554;2025/2026;0;50;0;723
555;2024/2025;0;56;0;723
556;2023/2024;0;62;0;723
557;2025/2026;1;21;1;41
558;2025/2026;2;33;2;41
559;2025/2026;3;42;2;41
560;2025/2026;4;27;2;41
561;2024/2025;1;31;2;41
562;2024/2025;2;37;2;41
563;2024/2025;3;41;2;41
564;2024/2025;4;19;2;41
565;2023/2024;1;42;2;41
566;2023/2024;2;48;2;41
567;2023/2024;3;25;2;41
568;2023/2024;4;17;2;41
569;2025/2026;5;22;1;40
570;2024/2025;5;23;1;40
571;2025/2026;0;73;0;121
572;2024/2025;0;77;0;121
573;2023/2024;0;78;0;121
574;2025/2026;0;10;0;120
575;2024/2025;0;11;0;120
576;2023/2024;0;14;0;120
577;2025/2026;0;132;0;674
578;2024/2025;0;127;0;674
579;2023/2024;0;141;0;674
580;2025/2026;0;28;0;122
581;2024/2025;0;30;0;122
582;2023/2024;0;34;0;122
583;2025/2026;0;19;0;123
584;2024/2025;0;21;0;123
585;2023/2024;0;21;0;123
586;2025/2026;0;43;0;125
587;2024/2025;0;43;0;125
588;2023/2024;0;46;0;125
589;2025/2026;0;47;0;124
590;2024/2025;0;44;0;124
591;2023/2024;0;42;0;124
592;2025/2026;0;60;0;126
593;2024/2025;0;63;0;126
594;2023/2024;0;68;0;126
595;2025/2026;0;93;0;128
596;2024/2025;0;96;0;128
597;2023/2024;0;94;0;128
598;2025/2026;0;45;0;127
599;2024/2025;0;43;0;127
600;2023/2024;0;42;0;127
601;2025/2026;0;18;0;129
602;2024/2025;0;22;0;129
603;2023/2024;0;20;0;129
604;2025/2026;1;156;7;554
605;2025/2026;2;163;8;554
606;2025/2026;3;159;8;554
607;2025/2026;4;137;7;554
608;2025/2026;5;133;7;554
609;2024/2025;1;197;8;554
610;2024/2025;2;167;8;554
611;2024/2025;3;155;7;554
612;2024/2025;4;142;7;554
613;2024/2025;5;122;6;554
614;2023/2024;1;198;8;554
615;2023/2024;2;147;7;554
616;2023/2024;3;167;7;554
617;2023/2024;4;131;6;554
618;2023/2024;5;126;7;554
619;2025/2026;0;35;0;130
620;2024/2025;0;35;0;130
621;2023/2024;0;38;0;130
622;2025/2026;1;9;1;553
623;2025/2026;1;708;45;552
624;2025/2026;1;642;39;552
625;2025/2026;3;103;5;552
626;2024/2025;1;800;32;552
627;2024/2025;3;210;7;552
628;2024/2025;1;845;32;552
629;2024/2025;3;116;6;552
630;2023/2024;1;443;5;552
631;2023/2024;1;726;5;552
632;2023/2024;3;127;7;552
633;2025/2026;1;126;9;556
634;2025/2026;1;22;3;556
635;2025/2026;2;14;3;556
636;2025/2026;3;54;1;556
637;2025/2026;4;11;1;556
638;2025/2026;5;28;1;556
639;2024/2025;1;480;15;556
640;2024/2025;1;63;6;556
641;2024/2025;2;17;5;556
642;2024/2025;3;59;1;556
643;2024/2025;4;8;2;556
644;2024/2025;5;27;1;556
645;2023/2024;1;350;10;556
646;2023/2024;1;89;2;556
647;2023/2024;2;22;2;556
648;2023/2024;3;51;2;556
649;2023/2024;4;8;1;556
650;2023/2024;5;29;1;556
651;2025/2026;1;54;4;555
652;2025/2026;2;52;3;555
653;2025/2026;3;59;3;555
654;2025/2026;4;56;3;555
655;2025/2026;5;36;2;555
656;2024/2025;1;63;3;555
657;2024/2025;2;60;3;555
658;2024/2025;3;62;3;555
659;2024/2025;4;35;2;555
660;2024/2025;5;66;3;555
661;2023/2024;1;59;3;555
662;2023/2024;2;63;3;555
663;2023/2024;3;38;2;555
664;2023/2024;4;68;3;555
665;2023/2024;5;45;3;555
666;2025/2026;0;55;0;131
667;2024/2025;0;55;0;131
668;2023/2024;0;63;0;131
669;2025/2026;0;29;0;722
670;2024/2025;0;32;0;722
671;2023/2024;0;32;0;722
672;2025/2026;0;17;0;132
673;2024/2025;0;16;0;132
674;2023/2024;0;17;0;132
675;2025/2026;0;105;0;133
676;2024/2025;0;105;0;133
677;2023/2024;0;121;0;133
678;2025/2026;0;41;0;134
679;2024/2025;0;35;0;134
680;2023/2024;0;34;0;134
681;2025/2026;0;52;0;135
682;2024/2025;0;43;0;135
683;2023/2024;0;58;0;135
684;2025/2026;0;126;0;136
685;2024/2025;0;132;0;136
686;2023/2024;0;129;0;136
687;2025/2026;0;30;0;138
688;2024/2025;0;41;0;138
689;2023/2024;0;32;0;138
690;2025/2026;0;42;0;137
691;2024/2025;0;43;0;137
692;2023/2024;0;42;0;137
693;2025/2026;0;37;0;642
694;2024/2025;0;36;0;642
695;2023/2024;0;35;0;642
696;2025/2026;0;66;0;113
697;2024/2025;0;73;0;113
698;2023/2024;0;85;0;113
699;2025/2026;0;89;0;115
700;2024/2025;0;90;0;115
701;2023/2024;0;88;0;115
702;2025/2026;0;109;0;118
703;2024/2025;0;107;0;118
704;2023/2024;0;116;0;118
705;2025/2026;0;78;0;116
706;2024/2025;0;75;0;116
707;2023/2024;0;79;0;116
708;2025/2026;0;96;0;117
709;2024/2025;0;101;0;117
710;2023/2024;0;106;0;117
711;2025/2026;0;19;0;114
712;2024/2025;0;26;0;114
713;2023/2024;0;19;0;114
714;2025/2026;1;24;2;420
715;2025/2026;2;25;2;420
716;2025/2026;3;19;1;420
717;2025/2026;4;19;1;420
718;2025/2026;5;19;1;420
719;2024/2025;1;24;2;420
720;2024/2025;2;20;1;420
721;2024/2025;3;18;1;420
722;2024/2025;4;20;1;420
723;2024/2025;5;23;1;420
724;2023/2024;1;21;1;420
725;2023/2024;2;18;1;420
726;2023/2024;3;20;1;420
727;2023/2024;4;23;1;420
728;2023/2024;5;21;1;420
729;2025/2026;0;54;0;119
730;2024/2025;0;55;0;119
731;2023/2024;0;55;0;119
732;2025/2026;1;33;2;421
733;2025/2026;2;40;2;421
734;2025/2026;3;46;2;421
735;2025/2026;4;52;3;421
736;2025/2026;5;49;2;421
737;2024/2025;1;41;2;421
738;2024/2025;2;46;2;421
739;2024/2025;3;52;3;421
740;2024/2025;4;49;2;421
741;2024/2025;5;51;3;421
742;2023/2024;1;43;2;421
743;2023/2024;2;51;3;421
744;2023/2024;3;51;2;421
745;2023/2024;4;49;3;421
746;2023/2024;5;60;3;421
747;2025/2026;1;13;1;422
748;2025/2026;2;12;1;422
749;2025/2026;3;16;1;422
750;2025/2026;4;16;1;422
751;2025/2026;5;25;1;422
752;2024/2025;1;11;1;422
753;2024/2025;2;16;1;422
754;2024/2025;3;17;1;422
755;2024/2025;4;25;1;422
756;2024/2025;5;10;1;422
757;2023/2024;1;17;1;422
758;2023/2024;2;17;1;422
759;2023/2024;3;25;1;422
760;2023/2024;4;10;1;422
761;2023/2024;5;18;1;422
762;2025/2026;1;18;1;419
763;2025/2026;2;20;1;419
764;2025/2026;3;15;1;419
765;2025/2026;4;12;1;419
766;2025/2026;5;22;1;419
767;2024/2025;1;23;1;419
768;2024/2025;2;14;1;419
769;2024/2025;3;12;1;419
770;2024/2025;4;23;1;419
771;2024/2025;5;21;1;419
772;2023/2024;1;13;1;419
773;2023/2024;2;12;1;419
774;2023/2024;3;23;1;419
775;2023/2024;4;19;1;419
776;2023/2024;5;15;1;419
777;2025/2026;1;7;1;423
778;2025/2026;2;14;1;423
779;2025/2026;3;13;1;423
780;2025/2026;4;18;1;423
781;2025/2026;5;19;1;423
782;2024/2025;1;14;1;423
783;2024/2025;2;13;1;423
784;2024/2025;3;18;1;423
785;2024/2025;4;20;1;423
786;2024/2025;5;17;1;423
787;2023/2024;1;11;1;423
788;2023/2024;2;18;1;423
789;2023/2024;3;20;1;423
790;2023/2024;4;16;1;423
791;2023/2024;5;12;1;423
792;2025/2026;1;16;1;424
793;2025/2026;2;14;1;424
794;2025/2026;3;15;1;424
795;2025/2026;4;12;1;424
796;2025/2026;5;30;2;424
797;2024/2025;1;14;1;424
798;2024/2025;2;14;1;424
799;2024/2025;3;14;1;424
800;2024/2025;4;29;2;424
801;2024/2025;5;25;1;424
802;2023/2024;1;13;1;424
803;2023/2024;2;11;1;424
804;2023/2024;3;29;2;424
805;2023/2024;4;25;1;424
806;2023/2024;5;24;1;424
807;2025/2026;1;16;1;425
808;2025/2026;2;17;1;425
809;2025/2026;3;15;1;425
810;2025/2026;4;24;2;425
811;2025/2026;5;13;1;425
812;2024/2025;1;16;1;425
813;2024/2025;2;16;1;425
814;2024/2025;3;24;2;425
815;2024/2025;4;13;1;425
816;2024/2025;5;21;1;425
817;2023/2024;1;15;1;425
818;2023/2024;2;25;2;425
819;2023/2024;3;14;1;425
820;2023/2024;4;22;1;425
821;2023/2024;5;22;1;425
822;2025/2026;1;55;3;428
823;2025/2026;2;79;4;428
824;2025/2026;3;76;4;428
825;2024/2025;1;81;4;428
826;2024/2025;2;76;4;428
827;2024/2025;3;74;3;428
828;2023/2024;1;76;4;428
829;2023/2024;2;74;3;428
830;2023/2024;3;77;4;428
831;2025/2026;1;64;3;393
832;2025/2026;2;56;3;393
833;2025/2026;3;56;3;393
834;2025/2026;4;60;3;393
835;2025/2026;5;65;3;393
836;2024/2025;1;58;3;393
837;2024/2025;2;58;3;393
838;2024/2025;3;59;3;393
839;2024/2025;4;65;3;393
840;2024/2025;5;51;3;393
841;2023/2024;1;60;3;393
842;2023/2024;2;61;3;393
843;2023/2024;3;63;3;393
844;2023/2024;4;54;3;393
845;2023/2024;5;56;3;393
846;2025/2026;1;69;3;429
847;2025/2026;2;54;3;429
848;2025/2026;3;68;3;429
849;2024/2025;1;56;3;429
850;2024/2025;2;67;3;429
851;2024/2025;3;57;3;429
852;2023/2024;1;65;3;429
853;2023/2024;2;57;3;429
854;2023/2024;3;66;3;429
855;2025/2026;1;37;2;427
856;2025/2026;2;32;2;427
857;2025/2026;3;28;2;427
858;2024/2025;1;34;2;427
859;2024/2025;2;29;2;427
860;2024/2025;3;29;2;427
861;2023/2024;1;28;2;427
862;2023/2024;2;30;2;427
863;2023/2024;3;47;3;427
864;2025/2026;1;34;2;394
