main institute;school;miur code;entity;address;miur code list;school count;check
circolo di coordinamento n. 2;"scuola dell'infanzia di villa agnedo ""natale alpino""";;school;via dei molini - agnedo, 36 38059;"";13;13
circolo di coordinamento n. 3;;;institute;via gilli, 3 38121;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento  ""crosina sartori""";;school;via gocciadoro, 84 38122;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento  ""gianni rodari""";;school;via giovanelli, 6 38122;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento  povo ""m.c. conotter""";;school;via della resistenza, 48 38123;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento clarina   ""piccolo mondo""";;school;via gramsci, 11 38123;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento cristo re ""piccolo principe""";;school;via senesi, 3 38121;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento madonna bianca ""l'albero del sole""";;school;via bettini, 3 38123;"";8;8
circolo di coordinamento n. 3;scuola dell'infanzia di trento s.martino;;school;via della predara, 16 38121;"";8;8
circolo di coordinamento n. 3;"scuola dell'infanzia di trento villazzano 3 ""l'officina degli gnomi""";;school;via conci, 10 38123;"";8;8
circolo di coordinamento n. 4;;;institute;via gilli, 3 38121;"";6;6
circolo di coordinamento n. 4;"scuola dell'infanzia di cimone ""mamma teresa""";;school;frazione petrolli, 37 38060;"";6;6
circolo di coordinamento n. 4;"scuola dell'infanzia di trento  ""torrione""";;school;via al torrione, 10 38122;"";6;6
circolo di coordinamento n. 4;"scuola dell'infanzia di trento  mattarello  ""il castello""";;school;via del castel, 1/a 38123;"";6;6
circolo di coordinamento n. 4;"scuola dell'infanzia di trento  ravina  ""girotondo""";;school;via per belvedere, 8 38123;"";6;6
circolo di coordinamento n. 4;"scuola dell'infanzia di trento  romagnano  ""gli gnomi del bosco""";;school;via delle prede, 2 38123;"";6;6
circolo di coordinamento n. 4;"scuola dell'infanzia di trento s.giuseppe ""maso ginocchio - collodi""";;school;via giusti, 56 38122;"";6;6
circolo di coordinamento n. 5;;;institute;via gilli, 3 38121;"";8;8
circolo di coordinamento n. 5;scuola dell'infanzia di calavino;;school;via pedrini - calavino, 28 38076;"";8;8
circolo di coordinamento n. 5;scuola dell'infanzia di lasino;;school;via lagolo - lasino, 47 38076;"";8;8
circolo di coordinamento n. 5;scuola dell'infanzia di terlago;;school;via degasperi - terlago, 7 38070;"";8;8
circolo di coordinamento n. 5;"scuola dell'infanzia di trento  cadine  ""il melograno""";;school;via di coltura, 3 38123;"";8;8
circolo di coordinamento n. 5;scuola dell'infanzia di trento  sardagna;;school;via dei caduti di sardagna, 8 38123;"";8;8
circolo di coordinamento n. 5;"scuola dell'infanzia di trento gardolo paludi  ""biancaneve""";;school;via paludi, 9/1 38121;"";8;8
circolo di coordinamento n. 5;scuola dell'infanzia di trento piedicastello;;school;via dos trento, 86 38122;"";8;8
circolo di coordinamento n. 5;"scuola dell'infanzia di trento roncafort  ""margit levinson""";;school;via dell asilo, 8 38121;"";8;8
circolo di coordinamento n. 6;;;institute;via gilli, 3 38121;"";7;7
circolo di coordinamento n. 6;"scuola dell'infanzia di giovo  ""il pellicano""";;school;via delle scuole, 9 38030;"";7;7
circolo di coordinamento n. 6;scuola dell'infanzia di grumes;;school;piazza municipio - grumes, 10 38030;"";7;7
circolo di coordinamento n. 6;"scuola dell'infanzia di trento  martignano  ""arcobaleno""";;school;via alla formigheta, 4 38121;"";7;7
circolo di coordinamento n. 6;"scuola dell'infanzia di trento  meano  ""m. r. giobatta partelloni""";;school;via delle sugarine, 38 38121;"";7;7
circolo di coordinamento n. 6;"scuola dell'infanzia di trento  melta di gardolo  ""il girasole""";;school;localita melta, 14 38121;"";7;7
circolo di coordinamento n. 6;"scuola dell'infanzia di trento  solteri  ""il quadrifoglio""";;school;via dei solteri, 24 38121;"";7;7
circolo di coordinamento n. 6;"scuola dell'infanzia di zambana ""girotondo""";;school;via conti spaur, 2 38010;"";7;7
circolo di coordinamento n. 7;;;institute;via filos, 2 38017;"";11;11
circolo di coordinamento n. 7;"scuola dell'infanzia di cavedago  ""l'albero azzurro""";;school;piazza s lorenzo, 2 38010;"";11;11
