vivoscuola school link;academic year;school year;number of students;number of classes
https://www.vivoscuola.it/content/view/full/29599;2025/2026;1;12;1
https://www.vivoscuola.it/content/view/full/29599;2025/2026;2;20;1
https://www.vivoscuola.it/content/view/full/29599;2025/2026;3;26;2
https://www.vivoscuola.it/content/view/full/29599;2024/2025;1;19;1
https://www.vivoscuola.it/content/view/full/29599;2024/2025;2;26;2
https://www.vivoscuola.it/content/view/full/29599;2024/2025;3;15;1
https://www.vivoscuola.it/content/view/full/29599;2023/2024;1;25;2
https://www.vivoscuola.it/content/view/full/29599;2023/2024;2;14;1
https://www.vivoscuola.it/content/view/full/29599;2023/2024;3;18;1
https://www.vivoscuola.it/content/view/full/29986;2025/2026;0;77;0
https://www.vivoscuola.it/content/view/full/29986;2024/2025;0;79;0
https://www.vivoscuola.it/content/view/full/29986;2023/2024;0;80;0
https://www.vivoscuola.it/content/view/full/29598;2025/2026;1;23;1
https://www.vivoscuola.it/content/view/full/29598;2025/2026;2;29;2
https://www.vivoscuola.it/content/view/full/29598;2025/2026;3;26;2
https://www.vivoscuola.it/content/view/full/29598;2024/2025;1;30;2
https://www.vivoscuola.it/content/view/full/29598;2024/2025;2;27;2
https://www.vivoscuola.it/content/view/full/29598;2024/2025;3;25;2
https://www.vivoscuola.it/content/view/full/29598;2023/2024;1;29;2
https://www.vivoscuola.it/content/view/full/29598;2023/2024;2;29;2
https://www.vivoscuola.it/content/view/full/29598;2023/2024;3;33;2
https://www.vivoscuola.it/content/view/full/30166;2025/2026;0;39;0
https://www.vivoscuola.it/content/view/full/30166;2024/2025;0;44;0
https://www.vivoscuola.it/content/view/full/30166;2023/2024;0;46;0
https://www.vivoscuola.it/content/view/full/30092;2025/2026;0;16;0
https://www.vivoscuola.it/content/view/full/30092;2024/2025;0;19;0
https://www.vivoscuola.it/content/view/full/30092;2023/2024;0;28;0
https://www.vivoscuola.it/content/view/full/29761;2025/2026;1;117;9
https://www.vivoscuola.it/content/view/full/29761;2025/2026;3;19;1
https://www.vivoscuola.it/content/view/full/29761;2025/2026;1;103;9
https://www.vivoscuola.it/content/view/full/29761;2025/2026;3;19;1
https://www.vivoscuola.it/content/view/full/29761;2024/2025;1;396;6
https://www.vivoscuola.it/content/view/full/29761;2024/2025;3;50;2
https://www.vivoscuola.it/content/view/full/29761;2024/2025;1;191;5
https://www.vivoscuola.it/content/view/full/29761;2024/2025;3;26;1
